label-en,Wikidata QID,instance of,subclass of,Art & Architecture Thesaurus ID,Wikibase QID
human,Q5,,,,
access restriction status,Q66739753,,,,
fully restricted access,Q66739729,access restriction status,,,
partly restricted access,Q66739849,access restriction status,,,
possibly restricted ,Q66739875,access restriction status,,,
not yet determined,Q59496158,access restriction status,,,
unrestricted access,Q66739888,access restriction status,,,
archive,Q166118,,,,
academic archive,Q27032435,,archive,,
municipal archive,Q604177,,archive,,
community organization,Q3269648,,,,
historical society,Q5774403,,,,
language,Q34770,,,,
English,Q1860,language,,,
Chinese,Q7850,language,,,
Boston,Q100,,,,
West Roxbury,Q2516663,,,,
Cambridge,Q49111,,,,
United States of America ,Q30,,,,
archival collection,Q9388534,,,,
Northeastern University Archives and Special Collections,Q109363303,academic archive,,,
Chinese Progressive Association,Q19646078,community organization,,,
correspondence,Q1784733,specific records type,,300026877,
minutes,Q2085515,specific records type,,300027440,
memorandum,Q660651,specific records type,,300026906,
handbook,Q1338914,specific records type,,300311807,
fliers,Q327611,specific records type,,300224742,
brochures,Q5173771,specific records type,,300248280,
pamphlets,Q190399,specific records type,,300220572,
reports,Q10870555,specific records type,,300027267,
posters,Q429785,specific records type,,300027221,
VHS,Q183976,specific records type,,300264683,
photographs,Q125191,specific records type,,300046300,
slides,Q3026325,specific records type,,300128371,
photographic prints,Q56055236,specific records type,,300127104,
negatives,Q595597,specific records type,,300127173,